Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Ceratobasidium sp. clone OTU3 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Ceratobasidium sp.,362,362,96%,2.00E-94,72.82,691,KY965395.1
"Ceratobasidium sp. AG-Fa isolate T-BJ-DX-3 18S small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S large subunit ribosomal RNA gene, partial sequence",Ceratobasidium sp. AG-Fa,336,336,96%,7.00E-87,72.31,686,MG837526.1
"Ceratobasidium sp. AG-F isolate HuB-6 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",Ceratobasidium sp. AG-F,336,336,96%,7.00E-87,72.31,686,KF176581.1
"Ceratobasidium sp. isolate CFC-0161 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Ceratobasidium sp.,332,332,96%,3.00E-85,72.16,683,MW186478.1
"Ceratobasidium sp. AG-F 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",Ceratobasidium sp. AG-F,332,332,96%,3.00E-85,72.16,686,JF705215.1
"Ceratobasidium sp. isolate CFC-0901 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Ceratobasidium sp.,330,330,96%,1.00E-84,72.12,670,MT159541.1
"Ceratobasidium sp. AG-Fa isolate T-BJ-DX-1 18S small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S large subunit ribosomal RNA gene, partial sequence",Ceratobasidium sp. AG-Fa,329,329,96%,1.00E-84,72.12,685,MG837524.1
"Ceratobasidium sp. AG-F isolate SX-2 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",Ceratobasidium sp. AG-F,327,327,96%,4.00E-84,72.01,686,KF176606.1
"Rhizoctonia solani isolate RIF3 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Rhizoctonia solani,327,327,96%,4.00E-84,72.01,686,MW369639.1
"Ceratobasidium sp. AG-Fa isolate T-BJ-DX-2 18S small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S large subunit ribosomal RNA gene, partial sequence",Ceratobasidium sp. AG-Fa,323,323,96%,2.00E-82,71.86,686,MG837525.1
