Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Pleosporales sp. strain LDCMYE29 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Pleosporales sp.,887,887,100%,0,98.99,538,MG980397.1
"Pleosporales sp. VegaE2-15 internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence",Pleosporales sp. VegaE2-15,880,880,96%,0,99.79,519,EU002891.1
"Acrocalymma sp. isolate HY05 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Acrocalymma sp.,880,880,97%,0,99.38,490,PQ285209.1
"Acrocalymma walkeri strain NI214 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Acrocalymma walkeri,874,874,97%,0,99.18,548,OL413441.1
"Pleosporales sp. P9-3 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",Pleosporales sp. P9-3,856,856,95%,0,99.16,474,KR816861.1
"Endophytic fungus isolate MIB04 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",Ascomycota sp. MIB04,843,843,97%,0,98.14,482,JN030357.1
"Fungal endophyte isolate 2737 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",fungal endophyte,830,1119,98%,0,97.34,989,FJ224123.1
"Fungal endophyte sp. RCEF4021 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",fungal endophyte sp. RCEF4021,830,830,99%,0,96.98,568,EU250374.1
"Rhizopycnis sp. E9303f 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",Rhizopycnis sp. E9303f,828,828,99%,0,96.97,534,JN545760.1
"Acrocalymma vagum isolate LrRF5 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Acrocalymma vagum,824,824,100%,0,96.61,516,MG543778.1
"Acrocalymma sp. strain XDPOP-R-35 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Acrocalymma sp.,824,824,99%,0,96.79,515,MG833830.1
"Acrocalymma vagum isolate RL24 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Acrocalymma vagum,824,824,99%,0,96.79,557,OP630514.1
"Phoma medicaginis isolate 2738 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",Ascochyta medicaginicola,822,822,98%,0,97.14,489,FJ490761.1
"Ascochyta medicaginicola isolate Ashna.10 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Ascochyta medicaginicola,822,822,98%,0,97.14,489,ON738233.1
"Rhizopycnis vagum strain G12 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",Acrocalymma vagum,821,821,99%,0,96.59,523,KF572468.1
"Alternaria sp. isolate RL11 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Alternaria sp.,819,819,99%,0,96.59,549,OP630503.1
"Alternaria alternata isolate RL27 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Alternaria alternata,819,819,99%,0,96.59,563,OP630517.1
"Acrocalymma vagum strain Y.H. Yeh V0420 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Acrocalymma vagum,819,819,99%,0,96.59,581,MH141292.1
"Rhizopycnis vagum isolate REF096 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",Acrocalymma vagum,819,819,99%,0,96.59,573,JN859316.1
