Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Diaporthe phoenicicola strain MFLUCC 24-0424 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Diaporthe phoenicicola,961,961,99%,0,99.43,547,PQ699345.1
"Diaporthe phaseolorum strain SSP12 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",Diaporthe phaseolorum,961,961,100%,0,99.25,548,KX925279.1
"Diaporthe sp. isolate DSF048 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Diaporthe sp.,959,959,100%,0,99.25,551,PQ302374.1
"Diaporthe sp. ZJ10-3L 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",Diaporthe sp. ZJ10-3L,955,955,100%,0,99.06,574,FJ037739.1
"Diaporthe sp. 75AM/T 18S ribosomal RNA gene, internal transcribed spacer 1, 5.8S ribosomal RNA gene, internal transcribed spacer 2, and 28S ribosomal RNA gene, region",Diaporthe sp. 75AM/T,952,952,100%,0,98.88,567,GU066649.1
"Diaporthe phaseolorum strain SCAU191 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Diaporthe phaseolorum,952,952,100%,0,98.88,556,MK281561.1
"Diaporthe sp. 97PG/T 18S ribosomal RNA gene, internal transcribed spacer 1, 5.8S ribosomal RNA gene, internal transcribed spacer 2, and 28S ribosomal RNA gene, region",Diaporthe sp. 97PG/T,950,950,100%,0,98.87,576,GU066664.1
"Diaporthe perseae strain Ps-32 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",Diaporthe perseae,950,950,100%,0,98.87,576,KU671359.1
"Diaporthe sp. isolate HNNUZCJ-089 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Diaporthe sp.,950,950,100%,0,98.87,555,OM281089.1
"Fungal endophyte sp. AcapS3 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",fungal endophyte sp. AcapS3,950,950,100%,0,98.87,577,EU054404.1
"Diaporthe henanensis isolate BJ5-7 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Diaporthe henanensis,950,950,100%,0,98.87,575,OL456725.1
