Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Gregatothecium humicola voucher MU35 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Gregatothecium humicola,977,977,97%,0,99.44,564,MN227420.1
"Gregatothecium humicola voucher MU25 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Gregatothecium humicola,977,977,97%,0,99.44,564,MN227410.1
"Gregatothecium humicola voucher MU37 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Gregatothecium humicola,977,977,97%,0,99.44,564,MN227422.1
"Gregatothecium humicola voucher MU22 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Gregatothecium humicola,977,977,97%,0,99.44,564,MN227407.1
"Gregatothecium humicola voucher MU38 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Gregatothecium humicola,977,977,97%,0,99.44,564,MN227423.1
"Gregatothecium humicola voucher MU20 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Gregatothecium humicola,977,977,97%,0,99.44,564,MN227405.1
"Gregatothecium humicola voucher MU93 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Gregatothecium humicola,977,977,97%,0,99.44,564,MN227478.1
"Gregatothecium humicola voucher MU55 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Gregatothecium humicola,977,977,97%,0,99.44,564,MN227440.1
"Gregatothecium humicola voucher MU43 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Gregatothecium humicola,977,977,97%,0,99.44,564,MN227428.1
"Gregatothecium humicola voucher MU61 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Gregatothecium humicola,977,977,97%,0,99.44,564,MN227446.1
"Gregatothecium humicola voucher MU62 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Gregatothecium humicola,977,977,97%,0,99.44,564,MN227447.1
"Gregatothecium humicola voucher MU24 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Gregatothecium humicola,977,977,97%,0,99.44,564,MN227409.1
"Gregatothecium humicola voucher MU72 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Gregatothecium humicola,977,977,97%,0,99.44,564,MN227457.1
"Gregatothecium humicola voucher MU29 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Gregatothecium humicola,977,977,97%,0,99.44,564,MN227414.1
"Gregatothecium humicola voucher MU44 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Gregatothecium humicola,977,977,97%,0,99.44,564,MN227429.1
"Gregatothecium humicola voucher MU65 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Gregatothecium humicola,977,977,97%,0,99.44,564,MN227450.1
"Gregatothecium humicola voucher MU28 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Gregatothecium humicola,977,977,97%,0,99.44,564,MN227413.1
"Gregatothecium humicola voucher MU68 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Gregatothecium humicola,977,977,97%,0,99.44,564,MN227453.1
"Gregatothecium humicola voucher MU41 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Gregatothecium humicola,977,977,97%,0,99.44,564,MN227426.1
"Gregatothecium humicola voucher MU36 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Gregatothecium humicola,977,977,97%,0,99.44,564,MN227421.1
"Gregatothecium humicola voucher MU47 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Gregatothecium humicola,977,977,97%,0,99.44,564,MN227432.1
"Gregatothecium humicola voucher MU89 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Gregatothecium humicola,977,977,97%,0,99.44,564,MN227474.1
