Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Fusarium proliferatum isolate LrBF14 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Fusarium proliferatum,952,952,100%,0,100,533,MG543732.1
"Fusarium proliferatum isolate ZJRF23-25 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Fusarium proliferatum,952,952,100%,0,100,541,PQ269859.1
"Fusarium sp. JL11 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",Fusarium sp. JL11,950,950,99%,0,100,531,KM513579.1
"Fusarium proliferatum isolate A voucher EC107 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Fusarium proliferatum,950,950,99%,0,100,528,MK243486.1
"Fusarium proliferatum strain 16 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Fusarium proliferatum,950,950,99%,0,100,532,OP060705.1
"Fusarium proliferatum strain AH3 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Fusarium proliferatum,950,950,99%,0,100,533,MH712154.1
"Fusarium proliferatum isolate gc-1-128-74-1 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Fusarium proliferatum,948,948,99%,0,100,519,OP238466.1
"Fusarium concentricum strain LC13618 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Fusarium concentricum,946,946,99%,0,100,527,MW016414.1
"Gibberella intermedia strain Af/4/1 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",Fusarium proliferatum,946,946,99%,0,100,523,JN624882.1
"Fusarium proliferatum strain BH5 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Fusarium proliferatum,946,946,99%,0,100,527,MH712156.1
