Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Cercospora beticola strain 2-34 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Cercospora beticola,917,917,100%,0,99.8,516,MW581306.1
"Cercospora citrullina strain UNL090102 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Cercospora citrullina,917,917,99%,0,100,504,OQ102622.1
"Cercospora capsici isolate CC-4 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",Cercospora capsici,917,917,100%,0,99.8,513,HQ700354.1
"Cercospora beticola strain 2-53 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Cercospora beticola,917,917,100%,0,99.8,523,MW581325.1
"Cercospora beticola strain 2-51 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Cercospora beticola,917,917,100%,0,99.8,521,MW581323.1
"Cercospora beticola strain 2-1 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Cercospora beticola,917,917,100%,0,99.8,520,MW581274.1
"Cercospora cf. chenopodii strain LMYB-02 internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S large subunit ribosomal RNA gene, partial sequence",Cercospora cf. chenopodii,915,915,99%,0,100,503,MH497385.1
"Cercospora sp. strain BLL05 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Cercospora sp.,915,915,99%,0,99.8,506,ON979428.1
"Cercospora cf. chenopodii strain LMYB-07 internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S large subunit ribosomal RNA gene, partial sequence",Cercospora cf. chenopodii,915,915,99%,0,100,503,MH497387.1
"Cercospora cf. chenopodii strain LMYB-03 internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S large subunit ribosomal RNA gene, partial sequence",Cercospora cf. chenopodii,915,915,99%,0,100,503,MH497386.1
"Cercospora zebrina culture CBS:118790 strain CBS 118790 18S ribosomal RNA gene, internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",Cercospora zebrina,913,913,100%,0,99.6,5482,GU214657.1
"Cercospora sp. LIPIMC 0758 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",Cercospora sp. LIPIMC 0758,913,913,100%,0,99.6,562,KC776166.1
"Cercospora beticola strain 1-42 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Cercospora beticola,913,913,99%,0,99.8,520,MW566036.1
"Cercospora physalidis strain Cer 69-18 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Cercospora physalidis,913,913,100%,0,99.6,546,MK027095.1
"Cercospora codiaei strain LIPIMC 0779 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",Cercospora codiaei,913,913,100%,0,99.6,561,KC776170.1
"Cercospora capsici strain CPC 22013 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",Cercospora capsici,913,913,100%,0,99.6,627,KT193660.1
"Cercospora sp. isolate Cer 70-18 18S ribosomal RNA gene, internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",Cercospora sp.,913,913,100%,0,99.6,5001,MW430740.1
"Cercospora beticola strain CPC 11557 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",Cercospora beticola,913,913,100%,0,99.6,3090,AY840527.2
"Cercospora piaropi isolate FJ24 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",Cercospora piaropi,913,913,100%,0,99.6,597,HQ902254.1
"Cercospora beticola strain 1-27 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Cercospora beticola,913,913,99%,0,99.8,522,MW566021.1
"Cercospora sp. isolate Cer 35-18 18S ribosomal RNA gene, internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",Cercospora sp.,913,913,100%,0,99.6,5001,MW430731.1
"Cercospora cf. apii CPC 24837 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",Cercospora cf. apii CPC 24837,913,913,100%,0,99.6,703,KT193651.1
"Cercospora sp. isolate Cer 03-18 18S ribosomal RNA gene, internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",Cercospora sp.,913,913,100%,0,99.6,5001,MW430726.1
"Cercospora canescens isolate Cer12-18 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Cercospora canescens,913,913,100%,0,99.6,558,MN795659.1
"Cercospora sp. isolate Cer 06-18 18S ribosomal RNA gene, internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",Cercospora sp.,913,913,100%,0,99.6,5001,MW430727.1
"Cercospora beticola strain 3-33 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Cercospora beticola,913,913,99%,0,99.8,519,MW581363.1
"Cercospora nicotianae strain X3-5 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Cercospora nicotianae,913,913,100%,0,99.6,537,MK695708.1
"Cercospora sp. isolate Cer 01-18 18S ribosomal RNA gene, internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",Cercospora sp.,913,913,100%,0,99.6,5001,MW430725.1
"Cercospora canescens isolate Cerm48-10 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Cercospora canescens,913,913,100%,0,99.6,545,MN400266.1
"Cercospora sp. isolate Cerm 03-09 18S ribosomal RNA gene, internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",Cercospora sp.,913,913,100%,0,99.6,5001,MW430746.1
"Cercospora cocciniae strain GUCP1 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Cercospora cocciniae,913,913,100%,0,99.6,540,PP848307.1
"Cercospora rodmanii strain 5H-GTOX 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",Cercospora rodmanii,913,913,100%,0,99.6,531,GQ884184.1
"Cercospora citrullina strain IPBCC 13.1006 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",Cercospora citrullina,913,913,100%,0,99.6,567,KC776161.1
"Cercospora cocciniae strain IPBCC 13.1008 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",Cercospora cocciniae,913,913,100%,0,99.6,566,KC776158.1
"Cercospora capsici culture CBS:118712 strain CBS 118712 18S ribosomal RNA gene, internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",Cercospora capsici,913,913,100%,0,99.6,6215,GU214653.1
