Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Colletotrichum sp. strain EX2019-M12 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Colletotrichum sp.,983,983,99%,0,100,549,MT913002.1
"Colletotrichum sp. strain EX2019-M25 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Colletotrichum sp.,983,983,99%,0,100,552,MT928533.1
"Colletotrichum gloeosporioides isolate LL16 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",Colletotrichum gloeosporioides,983,983,99%,0,100,549,KM520010.1
"Colletotrichum gloeosporioides internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",Colletotrichum gloeosporioides,983,983,99%,0,100,533,KJ625631.1
"Colletotrichum siamense strain YCB4 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Colletotrichum siamense,983,983,99%,0,100,551,ON746571.1
"Colletotrichum aenigma isolate HBHP-4 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Colletotrichum aenigma,983,983,99%,0,100,538,MK123443.1
"Colletotrichum gloeosporioides isolate h CTCRI internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Colletotrichum gloeosporioides,983,983,99%,0,100,680,PP537918.1
"Colletotrichum fructicola strain XJTJ002 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Colletotrichum fructicola,983,983,99%,0,100,547,OP288215.1
"Colletotrichum siamense isolate NSXL53 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Colletotrichum siamense,983,983,99%,0,100,551,MZ157058.1
"Colletotrichum aenigma isolate s8 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",Colletotrichum aenigma,983,983,99%,0,100,538,MT993618.1
